"Story","Title","Result","Date","Stability","Duration (s)"
"Stockbit Forgot Password","Send link reset with valid email","SUCCESS","2020-03-27T08:32:31.186+07:00[Asia/Bangkok]","0.0","17.53"
"Stockbit Forgot Password","Send link reset with invalid email","SUCCESS","2020-03-27T08:32:50.68+07:00[Asia/Bangkok]","0.0","14.71"
"Stockbit Forgot Password","Send link reset with invalid email format","SUCCESS","2020-03-27T08:33:06.404+07:00[Asia/Bangkok]","0.0","13.38"
"Stockbit Login","Success login","SUCCESS","2020-03-27T08:33:21.192+07:00[Asia/Bangkok]","0.0","21.91"
"Stockbit Login","Success login with valid","SUCCESS","2020-03-27T08:33:44.081+07:00[Asia/Bangkok]","0.0","24.97"
"Stockbit Login","Fail login With Invalid Email","SUCCESS","2020-03-27T08:34:09.99+07:00[Asia/Bangkok]","0.0","11.21"
"Stockbit Login","Fail login With Wrong Password","SUCCESS","2020-03-27T08:34:22.709+07:00[Asia/Bangkok]","0.0","10.99"
"Stockbit Login","Fail login With Wrong Username","SUCCESS","2020-03-27T08:34:34.651+07:00[Asia/Bangkok]","0.0","14.18"
"Stockbit Login","Fail login With Wrong Username And Wrong Password","SUCCESS","2020-03-27T08:34:49.834+07:00[Asia/Bangkok]","0.0","10.99"
"Stockbit Login","Fail login With Blank Password","SUCCESS","2020-03-27T08:35:03.345+07:00[Asia/Bangkok]","0.0","11.52"
"Stockbit Login","Fail login With Blank Username","SUCCESS","2020-03-27T08:35:17.932+07:00[Asia/Bangkok]","0.0","10.88"
"Stockbit Login","Fail login With Blank Username and Blank Password","SUCCESS","2020-03-27T08:35:31.792+07:00[Asia/Bangkok]","0.0","13.0"
